,gene_name,gene_id,SRR6206939_pass,SRR6206940_pass,SRR6206941_pass,SRR6206942_pass,SRR6206943_pass,SRR6206944_pass
1,0610005C13Rik,ENSMUSG00000109644.1,1.94313646071927,2.61695098718778,2.11903519592862,2.04049879011108,2.45118732081809,3.48839912207266
2,0610006L08Rik,ENSMUSG00000108652.1,0,0,0,0,0,0
3,0610009B22Rik,ENSMUSG00000007777.9,4.61947485469867,5.09475334168671,5.37197792099798,7.14549094927623,7.10290314457398,7.20844098216999
4,0610009E02Rik,ENSMUSG00000086714.1,1.18617519931125,1.20072567900167,1.98314381188883,1.82680211148556,2.30379281686224,1.56102412912588
5,0610009L18Rik,ENSMUSG00000043644.4,4.27431000781687,3.90882249713718,3.3016769062762,3.19581307325326,3.5103206947462,3.30901526850843
6,0610009O20Rik,ENSMUSG00000024442.5,9.68057517861465,9.84550266880733,9.7600652163425,10.0815127686084,9.9972706623839,10.2882972717492
7,0610010F05Rik,ENSMUSG00000042208.15,7.27344630349079,7.5624142582021,8.04994071228211,9.40775975245941,9.46365925754771,9.14461891853068
8,0610010K14Rik,ENSMUSG00000020831.18,9.82347826403203,9.79661215846745,9.81716004915985,10.3951651365584,10.85732393697,10.4585471226269
9,0610012D04Rik,ENSMUSG00000089755.1,0,0,0,0,0,0
10,0610012G03Rik,ENSMUSG00000107002.1,7.99938346574373,8.22741433201251,8.25585236805582,9.32431995011679,9.2910918996275,9.04618042806199
11,0610025J13Rik,ENSMUSG00000046683.16,0,0,0,0,0,0
12,0610030E20Rik,ENSMUSG00000058706.5,9.20829860316295,9.31180653171634,9.21380525265734,9.38658673540497,9.77792731227661,9.87762067614355
13,0610031O16Rik,ENSMUSG00000099146.7,0.594961898570642,1.97892736769841,0,0.688932052257875,0.580132420057016,1.24618705964416
14,0610033M10Rik,ENSMUSG00000108236.1,0,0,0.730846246468375,0,0,0
15,0610037L13Rik,ENSMUSG00000028608.15,8.89439076696002,8.91213884613069,8.99559336511446,9.56816309903183,9.27686719624954,9.12901829967429
