SAMPLE	1	1	1	2	2	2	3	3	3	4	4	                                                                                                                                                                                                          	5	5	5	6	6	6										
CLASS	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor	Tumor										
GENE	MYC_OFF_1_062918_01_AUC	MYC_OFF_1_062918_02_AUC	MYC_OFF_1_062918_03_AUC	MYC_OFF_2_062918_01_AUC	MYC_OFF_2_062918_02_AUC	MYC_OFF_2_062918_03_AUC	MYC_OFF_3_062918_01_AUC	MYC_OFF_3_062918_02_AUC	MYC_OFF_3_062918_03_AUC	MYC_1_062918_01_AUC	MYC_1_062918_02_AUC	MYC_1_062918_03_AUC	MYC_2_062918_01_AUC	MYC_2_062918_02_AUC	MYC_2_062918_03_AUC	MYC_3_062918_01_AUC	MYC_3_062918_02_AUC	MYC_3_062918_03_AUC	Np	p-value_Myc_off_vs_Myc	-log(p-value)_Myc_off_vs_Myc	Sign_ave_Myc_off_vs_Myc	Diff_ave_Myc_off_vs_Myc	MYC_OFF	MYC	Pearson	Clusters	Sign_ave_Myc_off_vs_Myc
FABP1	1.782192401	1.826168929	1.954337022	2.079384778	2.362686257	2.381804716	2.444787943	2.63328126	2.961654746	-4.066375832	-3.280793305	-2.8161394	-3.932759598	-3.447835673	-3.838424003	-3.305307864	-4.480819713	-3.740184333	19	4.90E-15	14.30971207	-84.80084478	-5.926104197	2.269588673	-3.656515524	0.761605414	0	-84.80084478
FAH	1.902673687	2.130521034	1.859688385	1.749963637	2.038628035	2.263185078	2.167972603	2.027182349	2.403534251	-3.430825737	-3.575294477	-3.410489252	-2.618458267	-2.709094751	-2.721701895	-2.787159045	-2.902616377	-3.017368457	12	7.27E-17	16.13827077	-81.97588368	-5.079595257	2.060372118	-3.01922314	0.770371215	0	-81.97588368
SCP2	2.104771635	2.267922636	2.256945663	1.194174427	1.531531848	1.751634357	1.938880925	1.795395564	1.757858836	-2.704347807	-3.069171029	-2.992755525	-3.228899223	-3.371762952	-3.523838514	-3.099621285	-3.299283876	-3.303786309	30	1.15E-16	15.93851173	-80.03361167	-5.021398046	1.84434621	-3.177051835	0.856153971	0	-80.03361167
BHMT	1.997090115	2.086946208	2.181703621	1.17767453	1.181467859	1.643761537	1.328783151	1.466934134	1.401255472	-3.216982532	-3.073197091	-3.128276441	-3.452517784	-3.274494731	-3.281229157	-3.526762073	-3.787819125	-3.332169785	32	3.58E-16	15.44626431	-76.4402417	-4.948785038	1.607290736	-3.341494302	0.788958919	3	-76.4402417
MGST1	1.371124065	1.27793354	1.684331996	1.591927832	1.800951171	2.11011821	1.778382206	1.529855077	1.624287766	-2.647307383	-2.690417232	-2.580119402	-2.576025775	-2.901328573	-3.020272295	-2.954595876	-3.363080812	-3.12594827	13	6.54E-17	16.18442606	-73.06010923	-4.514223054	1.640990207	-2.873232847	0.900037274	0	-73.06010923
ACAA2	1.842339997	1.960590801	1.809725797	1.388110827	1.370862709	1.486603111	2.227274757	2.299083859	2.501064701	-3.399351106	-3.458554548	-3.37692098	-3.166795516	-3.264417105	-3.24067154	-2.538471225	-2.895905203	-2.549370239	41	6.74E-15	14.17144384	-70.50468725	-4.97512378	1.876184062	-3.098939718	0.730605162	3	-70.50468725
CAT	1.924695255	1.882978747	2.083425962	0.955369561	0.96006725	1.323421715	1.911120124	1.910721601	1.893727512	-2.850523995	-2.809497398	-2.795439357	-3.312478182	-3.140826634	-3.22380893	-2.97109125	-3.136448708	-3.081457784	47	2.71E-15	14.56763027	-68.25274686	-4.685233329	1.649503081	-3.035730249	0.455157243	3	-68.25274686
